central_bank,meeting_date,event_type,event_id,meeting_sequence,event_time_utc,event_time_cet,speaker,title,url,scrape_status,is_scheduled,is_unconventional_era,chair_transition,word_count,n_sentences,text_clean,text_raw
ECB,1999-11-04,decision,ecb_dec_19991104,11,13:15,14:15,ECB Governing Council,Monetary policy decisions,https://www.ecb.europa.eu/press/pr/date/1999/html/pr991104.en.html,OK,True,False,False,49,3,At today's meeting the Governing Council of the ECB took the following monetary policy decisions: The President of the ECB will comment on the considerations underlying these decisions at a press conference starting at 2.30 p.m. today. Directorate General Communications Reproduction is permitted provided that the source is acknowledged.,At today's meeting the Governing Council of the ECB took the following monetary policy decisions: The President of the ECB will comment on the considerations underlying these decisions at a press conference starting at 2.30 p.m. today. Directorate General Communications Reproduction is permitted provided that the source is acknowledged.
ECB,1999-12-02,decision,ecb_dec_19991202,12,13:15,14:15,ECB Governing Council,Monetary policy decisions,https://www.ecb.europa.eu/press/pr/date/1999/html/pr991202.en.html,OK,True,False,False,49,3,At today's meeting the Governing Council of the ECB took the following monetary policy decisions: The President of the ECB will comment on the considerations underlying these decisions at a press conference starting at 2.30 p.m. today. Directorate General Communications Reproduction is permitted provided that the source is acknowledged.,At today's meeting the Governing Council of the ECB took the following monetary policy decisions: The President of the ECB will comment on the considerations underlying these decisions at a press conference starting at 2.30 p.m. today. Directorate General Communications Reproduction is permitted provided that the source is acknowledged.
ECB,2000-01-20,decision,ecb_dec_20000120,13,13:15,14:15,ECB Governing Council,Monetary policy decisions,https://www.ecb.europa.eu/press/pr/date/2000/html/pr000120.en.html,OK,True,False,False,127,4,"At today's meeting the Governing Council of the ECB decided that the interest rates on the main refinancing operations, the marginal lending facility and the deposit facility will remain unchanged at 3.0%, 4.0% and 2.0%, respectively. It was also decided that for the longer-term refinancing operations to be conducted in the first half of 2000 the Eurosystem intends to allot an amount of EUR 20 billion per operation. This amount takes into consideration the expected liquidity needs of the banking system of the euro area in the first half of 2000 and the desire of the Eurosystem to continue to provide the bulk of its refinancing of the financial sector through its main refinancing operations. Directorate General Communications Reproduction is permitted provided that the source is acknowledged.","At today's meeting the Governing Council of the ECB decided that the interest rates on the main refinancing operations, the marginal lending facility and the deposit facility will remain unchanged at 3.0%, 4.0% and 2.0%, respectively. It was also decided that for the longer-term refinancing operations to be conducted in the first half of 2000 the Eurosystem intends to allot an amount of EUR 20 billion per operation. This amount takes into consideration the expected liquidity needs of the banking system of the euro area in the first half of 2000 and the desire of the Eurosystem to continue to provide the bulk of its refinancing of the financial sector through its main refinancing operations. Directorate General Communications Reproduction is permitted provided that the source is acknowledged."
ECB,2000-02-03,decision,ecb_dec_20000203,14,13:15,14:15,ECB Governing Council,Monetary policy decisions,https://www.ecb.europa.eu/press/pr/date/2000/html/pr000203.en.html,OK,True,False,False,125,6,"At today's meeting the Governing Council of the ECB took the following monetary policy decisions: The interest rate on the main refinancing operations of the Eurosystem will be raised by 0.25 percentage point to 3.25%, starting from the operation to be settled on 9 February 2000. The interest rate on the marginal lending facility will be raised by 0.25 percentage point to 4.25%, with effect of 4 February 2000. The interest rate on the deposit facility will be raised by 0.25 percentage point to 2.25%, with effect of 4 February 2000. The President of the ECB will comment on the considerations underlying these decisions at a press conference starting at 2.30 p.m. today. Directorate General Communications Reproduction is permitted provided that the source is acknowledged.","At today's meeting the Governing Council of the ECB took the following monetary policy decisions: The interest rate on the main refinancing operations of the Eurosystem will be raised by 0.25 percentage point to 3.25%, starting from the operation to be settled on 9 February 2000. The interest rate on the marginal lending facility will be raised by 0.25 percentage point to 4.25%, with effect of 4 February 2000. The interest rate on the deposit facility will be raised by 0.25 percentage point to 2.25%, with effect of 4 February 2000. The President of the ECB will comment on the considerations underlying these decisions at a press conference starting at 2.30 p.m. today. Directorate General Communications Reproduction is permitted provided that the source is acknowledged."
ECB,2000-03-16,decision,ecb_dec_20000316,15,12:15,14:15,ECB Governing Council,Monetary policy decisions,https://www.ecb.europa.eu/press/pr/date/2000/html/pr000316.en.html,OK,True,False,False,438,16,"At today's meeting (which was also attended by the President of the European Commission, Mr. R. Prodi) the Governing Council of the ECB took the following monetary policy decisions: The interest rate on the main refinancing operations of the Eurosystem will be raised by 0.25 percentage point to 3.5%, starting from the operation to be settled on 22 March 2000. The interest rate on the marginal lending facility will be raised by 0.25 percentage point to 4.5%, with effect from 17 March 2000. The interest rate on the deposit facility will be raised by 0.25 percentage point to 2.5%, with effect from 17 March 2000. Following the regular examination of the outlook for price developments in the euro area on the basis of the latest information on monetary, financial and other economic developments, the Governing Council confirmed the assessment which was presented by the President of the ECB in his introductory statement at the press conference after the Governing Council meeting on 2 March 2000, as well as in the following issue of the ECB Monthly Bulletin. As noted there, economic conditions and prospects for the euro area appear to be better at present than at any time in the past decade. At the same time, upside risks to price stability were seen as a reason for vigilance. Today's decision addresses these upside risks, thereby contributing to maintaining the favourable outlook for the euro area economy. With regard to the first pillar of the monetary policy strategy of the Eurosystem, the prolonged deviation of M3 growth from the reference value of 4 1/2% points to the existence of ample liquidity in the euro area, especially when seen in conjunction with the continued strong growth of credit granted to the private sector. Considering the second pillar, most indicators and forecasts point to increasing upward pressures on consumer price inflation over the medium term. The strong rise in oil prices and the downward movement of the exchange rate of the euro in the past are putting upward pressure on import costs and producer prices. In the context of a strong cyclical upswing, there is a risk that these developments could, via second round effects, have lasting effects on consumer price inflation. Today's increase in ECB interest rates follows the interest rate decisions taken on 4 November 1999 and 3 February 2000 and continues the policy of countering these emerging upside risks to price stability in a timely and pre-emptive manner. By ensuring a non-inflationary environment, this move will contribute to ensuring sustainable economic growth in the euro area. Directorate General Communications Reproduction is permitted provided that the source is acknowledged.","At today's meeting (which was also attended by the President of the European Commission, Mr. R. Prodi) the Governing Council of the ECB took the following monetary policy decisions: The interest rate on the main refinancing operations of the Eurosystem will be raised by 0.25 percentage point to 3.5%, starting from the operation to be settled on 22 March 2000. The interest rate on the marginal lending facility will be raised by 0.25 percentage point to 4.5%, with effect from 17 March 2000. The interest rate on the deposit facility will be raised by 0.25 percentage point to 2.5%, with effect from 17 March 2000. Following the regular examination of the outlook for price developments in the euro area on the basis of the latest information on monetary, financial and other economic developments, the Governing Council confirmed the assessment which was presented by the President of the ECB in his introductory statement at the press conference after the Governing Council meeting on 2 March 2000, as well as in the following issue of the ECB Monthly Bulletin. As noted there, economic conditions and prospects for the euro area appear to be better at present than at any time in the past decade. At the same time, upside risks to price stability were seen as a reason for vigilance. Today's decision addresses these upside risks, thereby contributing to maintaining the favourable outlook for the euro area economy. With regard to the first pillar of the monetary policy strategy of the Eurosystem, the prolonged deviation of M3 growth from the reference value of 4 1/2% points to the existence of ample liquidity in the euro area, especially when seen in conjunction with the continued strong growth of credit granted to the private sector. Considering the second pillar, most indicators and forecasts point to increasing upward pressures on consumer price inflation over the medium term. The strong rise in oil prices and the downward movement of the exchange rate of the euro in the past are putting upward pressure on import costs and producer prices. In the context of a strong cyclical upswing, there is a risk that these developments could, via second round effects, have lasting effects on consumer price inflation. Today's increase in ECB interest rates follows the interest rate decisions taken on 4 November 1999 and 3 February 2000 and continues the policy of countering these emerging upside risks to price stability in a timely and pre-emptive manner. By ensuring a non-inflationary environment, this move will contribute to ensuring sustainable economic growth in the euro area. Directorate General Communications Reproduction is permitted provided that the source is acknowledged."
ECB,2000-04-13,decision,ecb_dec_20000413,16,12:15,14:15,ECB Governing Council,Monetary policy decisions,https://www.ecb.europa.eu/press/pr/date/2000/html/pr000413.en.html,OK,True,False,False,70,4,"At today's meeting the Governing Council of the ECB decided that the interest rates on the main refinancing operations, the marginal lending facility and the deposit facility will remain unchanged at 3.5%, 4.5% and 2.5% respectively. The President of the ECB will comment on the considerations underlying these decisions at a press conference starting at 2.30 p.m. today. Directorate General Communications Reproduction is permitted provided that the source is acknowledged.","At today's meeting the Governing Council of the ECB decided that the interest rates on the main refinancing operations, the marginal lending facility and the deposit facility will remain unchanged at 3.5%, 4.5% and 2.5% respectively. The President of the ECB will comment on the considerations underlying these decisions at a press conference starting at 2.30 p.m. today. Directorate General Communications Reproduction is permitted provided that the source is acknowledged."
ECB,2000-05-11,decision,ecb_dec_20000511,17,12:15,14:15,ECB Governing Council,Monetary policy decisions,https://www.ecb.europa.eu/press/pr/date/2000/html/pr000511.en.html,OK,True,False,False,70,4,"At today's meeting the Governing Council of the ECB decided that the interest rates on the main refinancing operations, the marginal lending facility and the deposit facility will remain unchanged at 3.75%, 4.75% and 2.75% respectively. The President of the ECB will comment on the considerations underlying these decisions at a press conference starting at 2.30 p.m. today. Directorate General Communications Reproduction is permitted provided that the source is acknowledged.","At today's meeting the Governing Council of the ECB decided that the interest rates on the main refinancing operations, the marginal lending facility and the deposit facility will remain unchanged at 3.75%, 4.75% and 2.75% respectively. The President of the ECB will comment on the considerations underlying these decisions at a press conference starting at 2.30 p.m. today. Directorate General Communications Reproduction is permitted provided that the source is acknowledged."
ECB,2000-06-08,decision,ecb_dec_20000608,18,12:15,14:15,ECB Governing Council,Monetary policy decisions,https://www.ecb.europa.eu/press/pr/date/2000/html/pr000608.en.html,OK,True,False,False,396,16,"At today's meeting the Governing Council of the ECB took the following monetary policy decisions: The interest rate on the main refinancing operations of the Eurosystem will be raised by 0.50 percentage point to 4.25% and applied in the two operations (which will be conducted as fixed rate tenders) to be settled on 15 and 21 June 2000. The interest rate on the marginal lending facility will be raised by 0.50 percentage point to 5.25% with effect from 9 June 2000. The interest rate on the deposit facility will be raised by 0.50 percentage point to 3.25%, with effect from 9 June 2000. Starting from the operation to be settled on 28 June 2000, the main refinancing operations of the Eurosystem will be conducted as variable rate tenders, applying the multiple rate auction procedure. The Governing Council has decided to set a minimum bid rate for these operations equal to 4.25%. This is the same rate as that which will prevail for the two fixed rate tenders to be implemented following today's decision. The switch to variable rate tenders in the main refinancing operations is not intended as a further change in the monetary policy stance of the Eurosystem. The new tender mechanism is a response to the severe overbidding which has developed in the context of the current fixed rate tender procedure. For the purpose of signalling the monetary policy stance, the minimum bid rate is designed to play the role performed, until now, by the rate in fixed rate tenders. This change does not in any way rule out the option that, in the future, the main refinancing operations of the Eurosystem may be conducted in principle as fixed rate tenders. The time available until implementation of the new tender procedure as from the first main refinancing operation of the maintenance period starting on 24 June 2000 will help counterparties to prepare for the change. In accordance with Article 8 of the Regulation (EC) No. 2818/98 of the European Central Bank of 1 December 1998 on the application of minimum reserves (ECB/1998/15), the marginal interest rate of the main refinancing operation is used to calculate the remuneration of required reserves. The President of the ECB will comment on the considerations underlying these decisions at a press conference starting at 2.30 p.m. today. Directorate General Communications Reproduction is permitted provided that the source is acknowledged.","At today's meeting the Governing Council of the ECB took the following monetary policy decisions: The interest rate on the main refinancing operations of the Eurosystem will be raised by 0.50 percentage point to 4.25% and applied in the two operations (which will be conducted as fixed rate tenders) to be settled on 15 and 21 June 2000. The interest rate on the marginal lending facility will be raised by 0.50 percentage point to 5.25% with effect from 9 June 2000. The interest rate on the deposit facility will be raised by 0.50 percentage point to 3.25%, with effect from 9 June 2000. Starting from the operation to be settled on 28 June 2000, the main refinancing operations of the Eurosystem will be conducted as variable rate tenders, applying the multiple rate auction procedure. The Governing Council has decided to set a minimum bid rate for these operations equal to 4.25%. This is the same rate as that which will prevail for the two fixed rate tenders to be implemented following today's decision. The switch to variable rate tenders in the main refinancing operations is not intended as a further change in the monetary policy stance of the Eurosystem. The new tender mechanism is a response to the severe overbidding which has developed in the context of the current fixed rate tender procedure. For the purpose of signalling the monetary policy stance, the minimum bid rate is designed to play the role performed, until now, by the rate in fixed rate tenders. This change does not in any way rule out the option that, in the future, the main refinancing operations of the Eurosystem may be conducted in principle as fixed rate tenders. The time available until implementation of the new tender procedure as from the first main refinancing operation of the maintenance period starting on 24 June 2000 will help counterparties to prepare for the change. In accordance with Article 8 of the Regulation (EC) No. 2818/98 of the European Central Bank of 1 December 1998 on the application of minimum reserves (ECB/1998/15), the marginal interest rate of the main refinancing operation is used to calculate the remuneration of required reserves. The President of the ECB will comment on the considerations underlying these decisions at a press conference starting at 2.30 p.m. today. Directorate General Communications Reproduction is permitted provided that the source is acknowledged."
ECB,2000-07-06,decision,ecb_dec_20000706,19,12:15,14:15,ECB Governing Council,Monetary policy decisions,https://www.ecb.europa.eu/press/pr/date/2000/html/pr000706.en.html,OK,True,False,False,76,4,"At today's meeting the Governing Council of the ECB decided that the minimum bid rate on the main refinancing operations and the interest rates on the marginal lending facility and the deposit facility will remain unchanged at 4.25%, 5.25% and 3.25% respectively. The President of the ECB will comment on the considerations underlying these decisions at a press conference starting at 2.30 p.m. today. Directorate General Communications Reproduction is permitted provided that the source is acknowledged.","At today's meeting the Governing Council of the ECB decided that the minimum bid rate on the main refinancing operations and the interest rates on the marginal lending facility and the deposit facility will remain unchanged at 4.25%, 5.25% and 3.25% respectively. The President of the ECB will comment on the considerations underlying these decisions at a press conference starting at 2.30 p.m. today. Directorate General Communications Reproduction is permitted provided that the source is acknowledged."
ECB,2000-08-31,decision,ecb_dec_20000831,20,12:15,14:15,ECB Governing Council,Monetary policy decisions,https://www.ecb.europa.eu/press/pr/date/2000/html/pr000831.en.html,OK,True,False,False,449,16,"At today's meeting the Governing Council of the ECB took the following monetary policy decisions: The minimum bid rate on the main refinancing operations of the Eurosystem will be raised by 0.25 percentage point to 4.50%, starting from the operation to be settled on 6 September 2000. The interest rate on the marginal lending facility will be raised by 0.25 percentage point to 5.50%, with effect from 1 September 2000. The interest rate on the deposit facility will be raised by 0.25 percentage point to 3.50%, with effect from 1 September 2000. The Governing Council is of the view that economic growth conditions and prospects in the euro area are very favourable. In order to maintain this benign environment, price stability over the medium term must be ensured. While present conditions are largely influenced by oil price and exchange rate developments and cannot be remedied by monetary policy in the short term, it is imperative that medium-term upward pressure on prices be contained. Today's policy decisions support the favourable prospects for high economic growth in the euro area. In the context of the first pillar of the monetary policy strategy of the ECB, although the measures taken since November 1999 are gradually feeding their way through, the latest available information indicates that M3 growth has continued to deviate on the upside from the reference value of 4½%. At the same time, the expansion of credit to the private sector, at around 10%, suggests that households and firms regard financing conditions in the euro area as being very favourable. In the context of the robust expansion of economic activity, a continuation of ample liquidity conditions would constitute a risk to price stability. Developments in key indicators related to the second pillar point in the same direction. The protracted depreciation of the exchange rate of the euro and the renewed rise in oil prices have increasingly put upward pressure on import prices and consumer prices in the euro area. At the same time, recent data have confirmed that the euro area has entered a period of strong growth and that the outlook remains very positive. The Governing Council will continue to ensure that price stability is maintained in the euro area and will remain alert to all emerging risks to price stability. At the same time, it stresses that both sound public finances, in particular strict adherence to the criteria laid down in the Stability and Growth Pact, and the continuation of structural measures to enhance the flexibility of labour and goods markets will be the key to a lasting increase in the growth potential of the euro area. Directorate General Communications Reproduction is permitted provided that the source is acknowledged.","At today's meeting the Governing Council of the ECB took the following monetary policy decisions: The minimum bid rate on the main refinancing operations of the Eurosystem will be raised by 0.25 percentage point to 4.50%, starting from the operation to be settled on 6 September 2000. The interest rate on the marginal lending facility will be raised by 0.25 percentage point to 5.50%, with effect from 1 September 2000. The interest rate on the deposit facility will be raised by 0.25 percentage point to 3.50%, with effect from 1 September 2000. The Governing Council is of the view that economic growth conditions and prospects in the euro area are very favourable. In order to maintain this benign environment, price stability over the medium term must be ensured. While present conditions are largely influenced by oil price and exchange rate developments and cannot be remedied by monetary policy in the short term, it is imperative that medium-term upward pressure on prices be contained. Today's policy decisions support the favourable prospects for high economic growth in the euro area. In the context of the first pillar of the monetary policy strategy of the ECB, although the measures taken since November 1999 are gradually feeding their way through, the latest available information indicates that M3 growth has continued to deviate on the upside from the reference value of 4½%. At the same time, the expansion of credit to the private sector, at around 10%, suggests that households and firms regard financing conditions in the euro area as being very favourable. In the context of the robust expansion of economic activity, a continuation of ample liquidity conditions would constitute a risk to price stability. Developments in key indicators related to the second pillar point in the same direction. The protracted depreciation of the exchange rate of the euro and the renewed rise in oil prices have increasingly put upward pressure on import prices and consumer prices in the euro area. At the same time, recent data have confirmed that the euro area has entered a period of strong growth and that the outlook remains very positive. The Governing Council will continue to ensure that price stability is maintained in the euro area and will remain alert to all emerging risks to price stability. At the same time, it stresses that both sound public finances, in particular strict adherence to the criteria laid down in the Stability and Growth Pact, and the continuation of structural measures to enhance the flexibility of labour and goods markets will be the key to a lasting increase in the growth potential of the euro area. Directorate General Communications Reproduction is permitted provided that the source is acknowledged."
ECB,2000-09-05,decision,ecb_dec_20000905,21,12:15,14:15,ECB Governing Council,Seasonal adjustment of monetary aggregates and Consumer Price Indices (HICP) for the euro area,https://www.ecb.europa.eu/press/pr/date/2000/html/pr000905.en.html,OK,True,False,False,213,10,"The European Central Bank (ECB) will today release the publication entitled ""Seasonal adjustment of monetary aggregates and Consumer Price Indices (HICP) for the euro area"" (pdf 881 kB). Seasonal adjustment facilitates the interpretation of economic statistics by correcting them for recurrent influences within the year. These influences may be caused by events such as weather and calendar effects, regular tax payments or sales periods. Most monthly and quarterly statistics for the euro area used by the ECB are subject to these influences and seasonally adjusted results are important for the assessment of the business cycle. The report addresses various methodological issues concerning seasonal adjustment, focusing on two key indicators essential to the conduct of monetary policy by the ECB: monetary aggregates and Harmonised Consumer Price Indices (HICP) for the euro area. Besides explaining the seasonal adjustment of the monetary aggregates regularly published in the ECB Monthly Bulletin, the report also reviews the use of two leading seasonal adjustment packages, Census X-12 ARIMA and TRAMO-SEATS. The publication will be available on the ECB's website as from 3 p.m. ECB time (C.E.T.). Copies of the printed version can be ordered free of charge from the ECB's Press Division (Fax: +49 69 1344 7404). Directorate General Communications Reproduction is permitted provided that the source is acknowledged.","The European Central Bank (ECB) will today release the publication entitled ""Seasonal adjustment of monetary aggregates and Consumer Price Indices (HICP) for the euro area"" (pdf 881 kB). Seasonal adjustment facilitates the interpretation of economic statistics by correcting them for recurrent influences within the year. These influences may be caused by events such as weather and calendar effects, regular tax payments or sales periods. Most monthly and quarterly statistics for the euro area used by the ECB are subject to these influences and seasonally adjusted results are important for the assessment of the business cycle. The report addresses various methodological issues concerning seasonal adjustment, focusing on two key indicators essential to the conduct of monetary policy by the ECB: monetary aggregates and Harmonised Consumer Price Indices (HICP) for the euro area. Besides explaining the seasonal adjustment of the monetary aggregates regularly published in the ECB Monthly Bulletin, the report also reviews the use of two leading seasonal adjustment packages, Census X-12 ARIMA and TRAMO-SEATS. The publication will be available on the ECB's website as from 3 p.m. ECB time (C.E.T.). Copies of the printed version can be ordered free of charge from the ECB's Press Division (Fax: +49 69 1344 7404). Directorate General Communications Reproduction is permitted provided that the source is acknowledged."
ECB,2000-10-05,decision,ecb_dec_20001005,22,12:15,14:15,ECB Governing Council,Monetary policy decisions,https://www.ecb.europa.eu/press/pr/date/2000/html/pr001005.en.html,OK,True,False,False,126,6,"At today's meeting the Governing Council of the ECB took the following monetary policy decisions: The minimum bid rate on the main refinancing operations of the Eurosystem will be raised by 0.25 percentage point to 4.75%, starting from the operation to be settled on 11 October 2000. The interest rate on the marginal lending facility will be raised by 0.25 percentage point to 5.75%, with effect from 6 October 2000. The interest rate on the deposit facility will be raised by 0.25 percentage point to 3.75%, with effect from 6 October 2000. The President of the ECB will comment on the considerations underlying these decisions at a press conference starting at 2.30 p.m. today. Directorate General Communications Reproduction is permitted provided that the source is acknowledged.","At today's meeting the Governing Council of the ECB took the following monetary policy decisions: The minimum bid rate on the main refinancing operations of the Eurosystem will be raised by 0.25 percentage point to 4.75%, starting from the operation to be settled on 11 October 2000. The interest rate on the marginal lending facility will be raised by 0.25 percentage point to 5.75%, with effect from 6 October 2000. The interest rate on the deposit facility will be raised by 0.25 percentage point to 3.75%, with effect from 6 October 2000. The President of the ECB will comment on the considerations underlying these decisions at a press conference starting at 2.30 p.m. today. Directorate General Communications Reproduction is permitted provided that the source is acknowledged."
