event_id,meeting_date,central_bank,event_type,source,n_sentences,n_hawk,n_dove,n_neutral,n_stance,bert_score,bert_label,n_sentences_fwd,n_hawk_fwd,n_dove_fwd,n_stance_fwd,bert_score_fwd,bert_label_fwd
ecb_pressconf_20010301,2001-03-01,ECB,press_conference,ecb_press_conferences,111,11,16,84,27,-0.13513513513513514,dovish,32,5,8,13,-0.13043478260869565,dovish
ecb_pressconf_20010510,2001-05-10,ECB,press_conference,ecb_press_conferences,156,12,24,120,36,-0.2608695652173913,dovish,53,5,11,16,-0.23076923076923078,dovish
ecb_pressconf_20010607,2001-06-07,ECB,press_conference,ecb_press_conferences,111,10,21,80,31,-0.2682926829268293,dovish,41,3,8,11,-0.23809523809523808,dovish
ecb_pressconf_20010621,2001-06-21,ECB,press_conference,ecb_press_conferences,106,10,17,79,27,-0.1891891891891892,dovish,34,5,5,10,0,neutral
ecb_pressconf_20010705,2001-07-05,ECB,press_conference,ecb_press_conferences,143,12,30,101,42,-0.34615384615384615,dovish,49,3,16,19,-0.4482758620689655,dovish
ecb_pressconf_20010830,2001-08-30,ECB,press_conference,ecb_press_conferences,76,6,33,37,39,-0.5510204081632653,dovish,30,4,16,20,-0.4,dovish
ecb_pressconf_20011011,2001-10-11,ECB,press_conference,ecb_press_conferences,96,10,35,51,45,-0.45454545454545453,dovish,48,5,20,25,-0.42857142857142855,dovish
ecb_pressconf_20011108,2001-11-08,ECB,press_conference,ecb_press_conferences,131,14,40,77,54,-0.40625,dovish,62,8,22,30,-0.35,dovish
ecb_pressconf_20011206,2001-12-06,ECB,press_conference,ecb_press_conferences,114,14,23,77,37,-0.19148936170212766,dovish,56,7,13,20,-0.2,dovish
ecb_pressconf_20011213,2001-12-13,ECB,press_conference,ecb_press_conferences,21,1,1,19,2,0,neutral,4,0,0,0,0,neutral
ecb_pressconf_20020103,2002-01-03,ECB,press_conference,ecb_press_conferences,77,11,15,51,26,-0.1111111111111111,dovish,34,6,8,14,-0.08333333333333333,dovish
ecb_pressconf_20020207,2002-02-07,ECB,press_conference,ecb_press_conferences,143,18,15,110,33,0.06976744186046512,hawkish,44,5,4,9,0.05263157894736842,hawkish
ecb_pressconf_20020307,2002-03-07,ECB,press_conference,ecb_press_conferences,109,10,23,76,33,-0.3023255813953488,dovish,34,6,7,13,-0.043478260869565216,neutral
ecb_pressconf_20020404,2002-04-04,ECB,press_conference,ecb_press_conferences,88,16,19,53,35,-0.06666666666666667,dovish,36,9,8,17,0.037037037037037035,neutral
ecb_pressconf_20020502,2002-05-02,ECB,press_conference,ecb_press_conferences,89,15,23,51,38,-0.16666666666666666,dovish,35,5,11,16,-0.23076923076923078,dovish
ecb_pressconf_20020606,2002-06-06,ECB,press_conference,ecb_press_conferences,108,15,27,66,42,-0.23076923076923078,dovish,43,6,15,21,-0.2903225806451613,dovish
ecb_pressconf_20020704,2002-07-04,ECB,press_conference,ecb_press_conferences,121,17,24,80,41,-0.13725490196078433,dovish,29,6,8,14,-0.08333333333333333,dovish
ecb_pressconf_20020912,2002-09-12,ECB,press_conference,ecb_press_conferences,142,15,37,90,52,-0.3548387096774194,dovish,46,6,15,21,-0.2903225806451613,dovish
ecb_pressconf_20021010,2002-10-10,ECB,press_conference,ecb_press_conferences,135,23,27,85,50,-0.06666666666666667,dovish,40,7,10,17,-0.1111111111111111,dovish
ecb_pressconf_20021107,2002-11-07,ECB,press_conference,ecb_press_conferences,116,11,21,84,32,-0.23809523809523808,dovish,38,5,10,15,-0.2,dovish
ecb_pressconf_20021205,2002-12-05,ECB,press_conference,ecb_press_conferences,150,15,39,96,54,-0.375,dovish,46,9,10,19,-0.034482758620689655,neutral
ecb_pressconf_20030109,2003-01-09,ECB,press_conference,ecb_press_conferences,99,18,23,58,41,-0.09803921568627451,dovish,43,8,12,20,-0.13333333333333333,dovish
ecb_pressconf_20030206,2003-02-06,ECB,press_conference,ecb_press_conferences,184,16,45,123,61,-0.4084507042253521,dovish,59,3,19,22,-0.5,dovish
ecb_pressconf_20030306,2003-03-06,ECB,press_conference,ecb_press_conferences,137,13,34,90,47,-0.3684210526315789,dovish,52,9,11,20,-0.06666666666666667,dovish
ecb_pressconf_20030403,2003-04-03,ECB,press_conference,ecb_press_conferences,115,9,25,81,34,-0.36363636363636365,dovish,37,3,11,14,-0.3333333333333333,dovish
ecb_pressconf_20030508,2003-05-08,ECB,press_conference,ecb_press_conferences,127,14,25,88,39,-0.22448979591836735,dovish,52,4,14,18,-0.35714285714285715,dovish
ecb_pressconf_20030605,2003-06-05,ECB,press_conference,ecb_press_conferences,154,22,39,93,61,-0.23943661971830985,dovish,55,13,19,32,-0.14285714285714285,dovish
ecb_pressconf_20030710,2003-07-10,ECB,press_conference,ecb_press_conferences,137,9,21,107,30,-0.3,dovish,43,4,7,11,-0.14285714285714285,dovish
ecb_pressconf_20030904,2003-09-04,ECB,press_conference,ecb_press_conferences,123,20,26,77,46,-0.10714285714285714,dovish,54,9,12,21,-0.0967741935483871,dovish
ecb_pressconf_20031002,2003-10-02,ECB,press_conference,ecb_press_conferences,129,17,24,88,41,-0.13725490196078433,dovish,40,9,8,17,0.037037037037037035,neutral
ecb_pressconf_20031106,2003-11-06,ECB,press_conference,ecb_press_conferences,240,45,37,158,82,0.08695652173913043,hawkish,102,18,12,30,0.15,hawkish
ecb_pressconf_20031204,2003-12-04,ECB,press_conference,ecb_press_conferences,156,32,29,95,61,0.04225352112676056,neutral,53,14,6,20,0.26666666666666666,hawkish
ecb_pressconf_20040108,2004-01-08,ECB,press_conference,ecb_press_conferences,138,12,22,104,34,-0.22727272727272727,dovish,42,1,8,9,-0.3684210526315789,dovish
ecb_pressconf_20040205,2004-02-05,ECB,press_conference,ecb_press_conferences,121,17,18,86,35,-0.022222222222222223,neutral,35,5,3,8,0.1111111111111111,hawkish
ecb_pressconf_20040304,2004-03-04,ECB,press_conference,ecb_press_conferences,247,44,66,137,110,-0.18333333333333332,dovish,66,19,18,37,0.02127659574468085,neutral
ecb_pressconf_20040401,2004-04-01,ECB,press_conference,ecb_press_conferences,276,29,49,198,78,-0.22727272727272727,dovish,71,8,13,21,-0.16129032258064516,dovish
ecb_pressconf_20040506,2004-05-06,ECB,press_conference,ecb_press_conferences,172,36,27,109,63,0.1232876712328767,hawkish,54,9,7,16,0.07692307692307693,hawkish
ecb_pressconf_20040603,2004-06-03,ECB,press_conference,ecb_press_conferences,204,32,42,130,74,-0.11904761904761904,dovish,80,12,17,29,-0.1282051282051282,dovish
ecb_pressconf_20040701,2004-07-01,ECB,press_conference,ecb_press_conferences,178,33,22,123,55,0.16923076923076924,hawkish,55,16,4,20,0.4,hawkish
ecb_pressconf_20040902,2004-09-02,ECB,press_conference,ecb_press_conferences,189,32,36,121,68,-0.05128205128205128,dovish,78,14,11,25,0.08571428571428572,hawkish
ecb_pressconf_20041007,2004-10-07,ECB,press_conference,ecb_press_conferences,207,25,36,146,61,-0.15492957746478872,dovish,68,11,10,21,0.03225806451612903,neutral
ecb_pressconf_20041104,2004-11-04,ECB,press_conference,ecb_press_conferences,213,40,38,135,78,0.022727272727272728,neutral,66,17,15,32,0.047619047619047616,neutral
ecb_pressconf_20041202,2004-12-02,ECB,press_conference,ecb_press_conferences,210,39,25,146,64,0.1891891891891892,hawkish,71,14,7,21,0.22580645161290322,hawkish
ecb_pressconf_20050113,2005-01-13,ECB,press_conference,ecb_press_conferences,169,31,30,108,61,0.014084507042253521,neutral,52,11,6,17,0.18518518518518517,hawkish
ecb_pressconf_20050120,2005-01-20,ECB,press_conference,ecb_press_conferences,19,0,2,17,2,-0.16666666666666666,dovish,6,0,1,1,-0.09090909090909091,dovish
ecb_pressconf_20050203,2005-02-03,ECB,press_conference,ecb_press_conferences,160,36,34,90,70,0.025,neutral,56,5,19,24,-0.4117647058823529,dovish
ecb_pressconf_20050303,2005-03-03,ECB,press_conference,ecb_press_conferences,235,35,54,146,89,-0.1919191919191919,dovish,85,9,21,30,-0.3,dovish
ecb_pressconf_20050407,2005-04-07,ECB,press_conference,ecb_press_conferences,197,27,37,133,64,-0.13513513513513514,dovish,73,10,17,27,-0.1891891891891892,dovish
ecb_pressconf_20050602,2005-06-02,ECB,press_conference,ecb_press_conferences,241,57,38,146,95,0.18095238095238095,hawkish,72,20,15,35,0.1111111111111111,hawkish
ecb_pressconf_20050707,2005-07-07,ECB,press_conference,ecb_press_conferences,222,36,33,153,69,0.0379746835443038,neutral,53,10,9,19,0.034482758620689655,neutral
ecb_pressconf_20050901,2005-09-01,ECB,press_conference,ecb_press_conferences,198,26,34,138,60,-0.11428571428571428,dovish,64,10,12,22,-0.0625,dovish
ecb_pressconf_20051006,2005-10-06,ECB,press_conference,ecb_press_conferences,204,44,26,134,70,0.225,hawkish,65,22,10,32,0.2857142857142857,hawkish
ecb_pressconf_20051103,2005-11-03,ECB,press_conference,ecb_press_conferences,229,45,32,152,77,0.14942528735632185,hawkish,69,20,12,32,0.19047619047619047,hawkish
ecb_pressconf_20051201,2005-12-01,ECB,press_conference,ecb_press_conferences,241,34,46,161,80,-0.13333333333333333,dovish,87,11,18,29,-0.1794871794871795,dovish
ecb_pressconf_20060112,2006-01-12,ECB,press_conference,ecb_press_conferences,135,26,25,84,51,0.01639344262295082,neutral,68,12,13,25,-0.02857142857142857,neutral
ecb_pressconf_20060202,2006-02-02,ECB,press_conference,ecb_press_conferences,212,32,36,144,68,-0.05128205128205128,dovish,74,18,14,32,0.09523809523809523,hawkish
ecb_pressconf_20060302,2006-03-02,ECB,press_conference,ecb_press_conferences,192,37,35,120,72,0.024390243902439025,neutral,81,16,14,30,0.05,neutral
ecb_pressconf_20060406,2006-04-06,ECB,press_conference,ecb_press_conferences,176,26,45,105,71,-0.2345679012345679,dovish,52,11,16,27,-0.13513513513513514,dovish
ecb_pressconf_20060504,2006-05-04,ECB,press_conference,ecb_press_conferences,181,45,35,101,80,0.1111111111111111,hawkish,72,27,16,43,0.20754716981132076,hawkish
ecb_pressconf_20060608,2006-06-08,ECB,press_conference,ecb_press_conferences,224,46,26,152,72,0.24390243902439024,hawkish,93,29,13,42,0.3076923076923077,hawkish
ecb_pressconf_20060706,2006-07-06,ECB,press_conference,ecb_press_conferences,167,41,36,90,77,0.05747126436781609,hawkish,76,21,19,40,0.04,neutral
ecb_pressconf_20060803,2006-08-03,ECB,press_conference,ecb_press_conferences,196,47,26,123,73,0.25301204819277107,hawkish,84,24,14,38,0.20833333333333334,hawkish
ecb_pressconf_20060831,2006-08-31,ECB,press_conference,ecb_press_conferences,195,50,36,109,86,0.14583333333333334,hawkish,90,30,13,43,0.32075471698113206,hawkish
ecb_pressconf_20061005,2006-10-05,ECB,press_conference,ecb_press_conferences,241,49,53,139,102,-0.03571428571428571,neutral,102,24,26,50,-0.03333333333333333,neutral
ecb_pressconf_20061102,2006-11-02,ECB,press_conference,ecb_press_conferences,253,63,49,141,112,0.11475409836065574,hawkish,103,31,18,49,0.22033898305084745,hawkish
ecb_pressconf_20061207,2006-12-07,ECB,press_conference,ecb_press_conferences,276,57,53,166,110,0.03333333333333333,neutral,93,26,19,45,0.12727272727272726,hawkish
ecb_pressconf_20070111,2007-01-11,ECB,press_conference,ecb_press_conferences,181,35,30,116,65,0.06666666666666667,hawkish,70,17,13,30,0.1,hawkish
ecb_pressconf_20070208,2007-02-08,ECB,press_conference,ecb_press_conferences,229,50,31,148,81,0.2087912087912088,hawkish,86,22,10,32,0.2857142857142857,hawkish
ecb_pressconf_20070308,2007-03-08,ECB,press_conference,ecb_press_conferences,278,49,50,179,99,-0.009174311926605505,neutral,116,27,18,45,0.16363636363636364,hawkish
ecb_pressconf_20070412,2007-04-12,ECB,press_conference,ecb_press_conferences,220,39,38,143,77,0.011494252873563218,neutral,68,18,14,32,0.09523809523809523,hawkish
ecb_pressconf_20070510,2007-05-10,ECB,press_conference,ecb_press_conferences,172,38,37,97,75,0.011764705882352941,neutral,62,17,16,33,0.023255813953488372,neutral
ecb_pressconf_20070705,2007-07-05,ECB,press_conference,ecb_press_conferences,245,44,42,159,86,0.020833333333333332,neutral,85,21,14,35,0.15555555555555556,hawkish
ecb_pressconf_20070802,2007-08-02,ECB,press_conference,ecb_press_conferences,67,9,9,49,18,0,neutral,30,2,4,6,-0.125,dovish
ecb_pressconf_20070906,2007-09-06,ECB,press_conference,ecb_press_conferences,226,43,36,147,79,0.07865168539325842,hawkish,90,21,16,37,0.10638297872340426,hawkish
ecb_pressconf_20071004,2007-10-04,ECB,press_conference,ecb_press_conferences,215,49,31,135,80,0.2,hawkish,100,31,15,46,0.2857142857142857,hawkish
ecb_pressconf_20071108,2007-11-08,ECB,press_conference,ecb_press_conferences,223,47,44,132,91,0.0297029702970297,neutral,102,25,26,51,-0.01639344262295082,neutral
ecb_pressconf_20071206,2007-12-06,ECB,press_conference,ecb_press_conferences,218,45,41,132,86,0.041666666666666664,neutral,77,21,13,34,0.18181818181818182,hawkish
ecb_pressconf_20080110,2008-01-10,ECB,press_conference,ecb_press_conferences,213,39,39,135,78,0,neutral,77,19,21,40,-0.04,neutral
ecb_pressconf_20080207,2008-02-07,ECB,press_conference,ecb_press_conferences,252,29,53,170,82,-0.2608695652173913,dovish,104,9,28,37,-0.40425531914893614,dovish
ecb_pressconf_20080306,2008-03-06,ECB,press_conference,ecb_press_conferences,200,35,43,122,78,-0.09090909090909091,dovish,75,17,19,36,-0.043478260869565216,neutral
ecb_pressconf_20080410,2008-04-10,ECB,press_conference,ecb_press_conferences,232,36,65,131,101,-0.26126126126126126,dovish,64,10,24,34,-0.3181818181818182,dovish
ecb_pressconf_20080508,2008-05-08,ECB,press_conference,ecb_press_conferences,228,45,54,129,99,-0.08256880733944955,dovish,87,20,28,48,-0.13793103448275862,dovish
ecb_pressconf_20080605,2008-06-05,ECB,press_conference,ecb_press_conferences,243,56,52,135,108,0.03389830508474576,neutral,96,25,21,46,0.07142857142857142,hawkish
ecb_pressconf_20080703,2008-07-03,ECB,press_conference,ecb_press_conferences,235,56,56,123,112,0,neutral,88,27,28,55,-0.015384615384615385,neutral
ecb_pressconf_20080807,2008-08-07,ECB,press_conference,ecb_press_conferences,219,32,54,133,86,-0.22916666666666666,dovish,92,15,26,41,-0.21568627450980393,dovish
ecb_pressconf_20080904,2008-09-04,ECB,press_conference,ecb_press_conferences,290,36,69,185,105,-0.28695652173913044,dovish,117,19,34,53,-0.23809523809523808,dovish
ecb_pressconf_20081002,2008-10-02,ECB,press_conference,ecb_press_conferences,204,30,70,104,100,-0.36363636363636365,dovish,80,4,28,32,-0.5714285714285714,dovish
ecb_pressconf_20081106,2008-11-06,ECB,press_conference,ecb_press_conferences,242,31,73,138,104,-0.3684210526315789,dovish,81,12,30,42,-0.34615384615384615,dovish
ecb_pressconf_20081204,2008-12-04,ECB,press_conference,ecb_press_conferences,261,24,97,140,121,-0.5572519083969466,dovish,92,6,47,53,-0.6507936507936508,dovish
ecb_pressconf_20090115,2009-01-15,ECB,press_conference,ecb_press_conferences,236,26,94,116,120,-0.5230769230769231,dovish,109,8,51,59,-0.6231884057971014,dovish
ecb_pressconf_20090205,2009-02-05,ECB,press_conference,ecb_press_conferences,257,13,85,159,98,-0.6666666666666666,dovish,114,6,38,44,-0.5925925925925926,dovish
ecb_pressconf_20090305,2009-03-05,ECB,press_conference,ecb_press_conferences,232,18,63,151,81,-0.4945054945054945,dovish,106,13,36,49,-0.3898305084745763,dovish
ecb_pressconf_20090402,2009-04-02,ECB,press_conference,ecb_press_conferences,184,24,59,101,83,-0.3763440860215054,dovish,83,5,30,35,-0.5555555555555556,dovish
ecb_pressconf_20090507,2009-05-07,ECB,press_conference,ecb_press_conferences,197,28,65,104,93,-0.3592233009708738,dovish,78,9,33,42,-0.46153846153846156,dovish
ecb_pressconf_20090604,2009-06-04,ECB,press_conference,ecb_press_conferences,191,49,47,95,96,0.018867924528301886,neutral,86,25,25,50,0,neutral
ecb_pressconf_20090702,2009-07-02,ECB,press_conference,ecb_press_conferences,190,41,50,99,91,-0.0891089108910891,dovish,82,18,27,45,-0.16363636363636364,dovish
ecb_pressconf_20090806,2009-08-06,ECB,press_conference,ecb_press_conferences,236,40,80,116,120,-0.3076923076923077,dovish,89,17,32,49,-0.2542372881355932,dovish
ecb_pressconf_20090903,2009-09-03,ECB,press_conference,ecb_press_conferences,198,36,67,95,103,-0.2743362831858407,dovish,86,16,32,48,-0.27586206896551724,dovish
ecb_pressconf_20091008,2009-10-08,ECB,press_conference,ecb_press_conferences,204,35,59,110,94,-0.23076923076923078,dovish,75,11,26,37,-0.3191489361702128,dovish
ecb_pressconf_20091029,2009-10-29,ECB,press_conference,ecb_press_conferences,1,0,0,1,0,0,neutral,0,0,0,0,NA,neutral
ecb_pressconf_20091105,2009-11-05,ECB,press_conference,ecb_press_conferences,199,38,54,107,92,-0.1568627450980392,dovish,73,10,25,35,-0.3333333333333333,dovish
ecb_pressconf_20091203,2009-12-03,ECB,press_conference,ecb_press_conferences,214,33,53,128,86,-0.20833333333333334,dovish,89,13,24,37,-0.23404255319148937,dovish
ecb_pressconf_20100114,2010-01-14,ECB,press_conference,ecb_press_conferences,239,38,65,136,103,-0.23893805309734514,dovish,95,11,36,47,-0.43859649122807015,dovish
ecb_pressconf_20100204,2010-02-04,ECB,press_conference,ecb_press_conferences,225,34,60,131,94,-0.25,dovish,83,12,27,39,-0.30612244897959184,dovish
ecb_pressconf_20100304,2010-03-04,ECB,press_conference,ecb_press_conferences,232,36,59,137,95,-0.21904761904761905,dovish,99,15,31,46,-0.2857142857142857,dovish
ecb_pressconf_20100408,2010-04-08,ECB,press_conference,ecb_press_conferences,278,34,32,212,66,0.02631578947368421,neutral,100,8,14,22,-0.1875,dovish
ecb_pressconf_20100506,2010-05-06,ECB,press_conference,ecb_press_conferences,230,40,42,148,82,-0.021739130434782608,neutral,76,16,19,35,-0.06666666666666667,dovish
ecb_pressconf_20100610,2010-06-10,ECB,press_conference,ecb_press_conferences,237,38,34,165,72,0.04878048780487805,neutral,75,9,8,17,0.037037037037037035,neutral
ecb_pressconf_20100708,2010-07-08,ECB,press_conference,ecb_press_conferences,220,25,37,158,62,-0.16666666666666666,dovish,87,11,15,26,-0.1111111111111111,dovish
ecb_pressconf_20100805,2010-08-05,ECB,press_conference,ecb_press_conferences,236,39,48,149,87,-0.09278350515463918,dovish,88,11,21,32,-0.23809523809523808,dovish
ecb_pressconf_20100902,2010-09-02,ECB,press_conference,ecb_press_conferences,236,40,43,153,83,-0.03225806451612903,neutral,82,19,18,37,0.02127659574468085,neutral
ecb_pressconf_20101007,2010-10-07,ECB,press_conference,ecb_press_conferences,217,40,34,143,74,0.07142857142857142,hawkish,61,12,15,27,-0.08108108108108109,dovish
ecb_pressconf_20101104,2010-11-04,ECB,press_conference,ecb_press_conferences,247,35,32,180,67,0.03896103896103896,neutral,79,11,13,24,-0.058823529411764705,dovish
ecb_pressconf_20101202,2010-12-02,ECB,press_conference,ecb_press_conferences,264,51,39,174,90,0.12,hawkish,89,20,16,36,0.08695652173913043,hawkish
ecb_pressconf_20110113,2011-01-13,ECB,press_conference,ecb_press_conferences,272,54,45,173,99,0.08256880733944955,hawkish,90,22,21,43,0.018867924528301886,neutral
ecb_pressconf_20110203,2011-02-03,ECB,press_conference,ecb_press_conferences,232,57,44,131,101,0.11711711711711711,hawkish,80,21,21,42,0,neutral
ecb_pressconf_20110303,2011-03-03,ECB,press_conference,ecb_press_conferences,246,50,40,156,90,0.1,hawkish,82,22,15,37,0.14893617021276595,hawkish
ecb_pressconf_20110407,2011-04-07,ECB,press_conference,ecb_press_conferences,280,51,69,160,120,-0.13846153846153847,dovish,85,17,29,46,-0.21428571428571427,dovish
ecb_pressconf_20110505,2011-05-05,ECB,press_conference,ecb_press_conferences,233,52,55,126,107,-0.02564102564102564,neutral,73,17,23,40,-0.12,dovish
ecb_pressconf_20110609,2011-06-09,ECB,press_conference,ecb_press_conferences,255,60,44,151,104,0.14035087719298245,hawkish,92,24,15,39,0.1836734693877551,hawkish
ecb_pressconf_20110707,2011-07-07,ECB,press_conference,ecb_press_conferences,262,58,59,145,117,-0.007874015748031496,neutral,74,18,20,38,-0.041666666666666664,neutral
ecb_pressconf_20110804,2011-08-04,ECB,press_conference,ecb_press_conferences,269,47,57,165,104,-0.08771929824561403,dovish,84,18,24,42,-0.11538461538461539,dovish
ecb_pressconf_20110908,2011-09-08,ECB,press_conference,ecb_press_conferences,310,66,62,182,128,0.028985507246376812,neutral,98,21,30,51,-0.14754098360655737,dovish
ecb_pressconf_20111006,2011-10-06,ECB,press_conference,ecb_press_conferences,285,47,62,176,109,-0.12605042016806722,dovish,64,8,19,27,-0.2972972972972973,dovish
ecb_pressconf_20111103,2011-11-03,ECB,press_conference,ecb_press_conferences,186,21,46,119,67,-0.3246753246753247,dovish,54,5,20,25,-0.42857142857142855,dovish
ecb_pressconf_20111208,2011-12-08,ECB,press_conference,ecb_press_conferences,229,26,48,155,74,-0.2619047619047619,dovish,74,9,19,28,-0.2631578947368421,dovish
ecb_pressconf_20120112,2012-01-12,ECB,press_conference,ecb_press_conferences,230,29,56,145,85,-0.28421052631578947,dovish,68,13,23,36,-0.21739130434782608,dovish
ecb_pressconf_20120209,2012-02-09,ECB,press_conference,ecb_press_conferences,224,26,43,155,69,-0.21518987341772153,dovish,81,10,17,27,-0.1891891891891892,dovish
ecb_pressconf_20120308,2012-03-08,ECB,press_conference,ecb_press_conferences,285,32,60,193,92,-0.27450980392156865,dovish,81,17,21,38,-0.08333333333333333,dovish
ecb_pressconf_20120503,2012-05-03,ECB,press_conference,ecb_press_conferences,219,30,51,138,81,-0.23076923076923078,dovish,65,8,17,25,-0.2571428571428571,dovish
ecb_pressconf_20120705,2012-07-05,ECB,press_conference,ecb_press_conferences,228,20,65,143,85,-0.47368421052631576,dovish,76,8,25,33,-0.3953488372093023,dovish
ecb_pressconf_20120802,2012-08-02,ECB,press_conference,ecb_press_conferences,232,20,49,163,69,-0.3670886075949367,dovish,79,10,19,29,-0.23076923076923078,dovish
ecb_pressconf_20120906,2012-09-06,ECB,press_conference,ecb_press_conferences,190,34,47,109,81,-0.14285714285714285,dovish,64,17,16,33,0.023255813953488372,neutral
ecb_pressconf_20121004,2012-10-04,ECB,press_conference,ecb_press_conferences,210,22,55,133,77,-0.3793103448275862,dovish,69,9,16,25,-0.2,dovish
ecb_pressconf_20121108,2012-11-08,ECB,press_conference,ecb_press_conferences,231,27,51,153,78,-0.2727272727272727,dovish,79,10,16,26,-0.16666666666666666,dovish
ecb_pressconf_20121206,2012-12-06,ECB,press_conference,ecb_press_conferences,214,20,57,137,77,-0.42528735632183906,dovish,72,6,26,32,-0.47619047619047616,dovish
ecb_pressconf_20130110,2013-01-10,ECB,press_conference,ecb_press_conferences,228,19,66,143,85,-0.49473684210526314,dovish,64,6,25,31,-0.4634146341463415,dovish
ecb_pressconf_20130207,2013-02-07,ECB,press_conference,ecb_press_conferences,226,26,56,144,82,-0.32608695652173914,dovish,66,7,16,23,-0.2727272727272727,dovish
ecb_pressconf_20130307,2013-03-07,ECB,press_conference,ecb_press_conferences,279,24,76,179,100,-0.4727272727272727,dovish,75,7,25,32,-0.42857142857142855,dovish
ecb_pressconf_20130404,2013-04-04,ECB,press_conference,ecb_press_conferences,252,22,60,170,82,-0.41304347826086957,dovish,64,10,19,29,-0.23076923076923078,dovish
ecb_pressconf_20130502,2013-05-02,ECB,press_conference,ecb_press_conferences,256,19,83,154,102,-0.5714285714285714,dovish,71,9,25,34,-0.36363636363636365,dovish
ecb_pressconf_20130606,2013-06-06,ECB,press_conference,ecb_press_conferences,276,28,75,173,103,-0.415929203539823,dovish,89,11,24,35,-0.28888888888888886,dovish
