event_id,meeting_date,central_bank,event_type,source,n_sentences,n_hawk,n_dove,n_neutral,n_stance,bert_score,bert_label,n_sentences_fwd,n_hawk_fwd,n_dove_fwd,n_stance_fwd,bert_score_fwd,bert_label_fwd
fomc_stmt_20080625,2008-06-25,FOMC,statement,fomc_statements,21,3,5,13,8,-0.1111111111111111,dovish,6,0,4,4,-0.2857142857142857,dovish
fomc_stmt_20080805,2008-08-05,FOMC,statement,fomc_statements,22,3,6,13,9,-0.15789473684210525,dovish,5,0,4,4,-0.2857142857142857,dovish
fomc_stmt_20080916,2008-09-16,FOMC,statement,fomc_statements,23,2,6,15,8,-0.2222222222222222,dovish,5,0,4,4,-0.2857142857142857,dovish
fomc_stmt_20081008,2008-10-08,FOMC,statement,fomc_statements,27,2,11,14,13,-0.391304347826087,dovish,5,0,3,3,-0.23076923076923078,dovish
fomc_stmt_20081029,2008-10-29,FOMC,statement,fomc_statements,21,1,8,12,9,-0.3684210526315789,dovish,5,0,4,4,-0.2857142857142857,dovish
fomc_stmt_20081216,2008-12-16,FOMC,statement,fomc_statements,9,0,0,9,0,0,neutral,3,0,0,0,0,neutral
fomc_stmt_20090128,2009-01-28,FOMC,statement,fomc_statements,28,3,8,17,11,-0.23809523809523808,dovish,10,2,5,7,-0.17647058823529413,dovish
fomc_stmt_20090318,2009-03-18,FOMC,statement,fomc_statements,25,3,8,14,11,-0.23809523809523808,dovish,9,2,5,7,-0.17647058823529413,dovish
fomc_stmt_20090429,2009-04-29,FOMC,statement,fomc_statements,26,2,7,17,9,-0.2631578947368421,dovish,11,2,6,8,-0.2222222222222222,dovish
fomc_stmt_20090624,2009-06-24,FOMC,statement,fomc_statements,14,3,6,5,9,-0.15789473684210525,dovish,9,2,4,6,-0.125,dovish
fomc_stmt_20090812,2009-08-12,FOMC,statement,fomc_statements,26,3,5,18,8,-0.1111111111111111,dovish,9,2,5,7,-0.17647058823529413,dovish
fomc_stmt_20090923,2009-09-23,FOMC,statement,fomc_statements,25,1,7,17,8,-0.3333333333333333,dovish,10,1,6,7,-0.29411764705882354,dovish
fomc_stmt_20091104,2009-11-04,FOMC,statement,fomc_statements,26,3,5,18,8,-0.1111111111111111,dovish,9,1,5,6,-0.25,dovish
fomc_stmt_20091216,2009-12-16,FOMC,statement,fomc_statements,29,1,8,20,9,-0.3684210526315789,dovish,10,0,5,5,-0.3333333333333333,dovish
fomc_stmt_20100127,2010-01-27,FOMC,statement,fomc_statements,27,2,6,19,8,-0.2222222222222222,dovish,10,0,4,4,-0.2857142857142857,dovish
fomc_stmt_20100316,2010-03-16,FOMC,statement,fomc_statements,23,3,6,14,9,-0.15789473684210525,dovish,6,0,4,4,-0.2857142857142857,dovish
fomc_stmt_20100428,2010-04-28,FOMC,statement,fomc_statements,22,2,4,16,6,-0.125,dovish,5,0,3,3,-0.23076923076923078,dovish
fomc_stmt_20100623,2010-06-23,FOMC,statement,fomc_statements,22,1,7,14,8,-0.3333333333333333,dovish,5,0,3,3,-0.23076923076923078,dovish
fomc_stmt_20100810,2010-08-10,FOMC,statement,fomc_statements,26,2,7,17,9,-0.2631578947368421,dovish,7,0,3,3,-0.23076923076923078,dovish
fomc_stmt_20100921,2010-09-21,FOMC,statement,fomc_statements,25,2,8,15,10,-0.3,dovish,6,1,2,3,-0.07692307692307693,dovish
fomc_stmt_20101103,2010-11-03,FOMC,statement,fomc_statements,30,1,9,20,10,-0.4,dovish,8,0,5,5,-0.3333333333333333,dovish
fomc_stmt_20101214,2010-12-14,FOMC,statement,fomc_statements,28,1,9,18,10,-0.4,dovish,7,0,4,4,-0.2857142857142857,dovish
fomc_stmt_20110126,2011-01-26,FOMC,statement,fomc_statements,25,1,6,18,7,-0.29411764705882354,dovish,5,0,3,3,-0.23076923076923078,dovish
fomc_stmt_20110315,2011-03-15,FOMC,statement,fomc_statements,25,3,6,16,9,-0.15789473684210525,dovish,6,0,2,2,-0.16666666666666666,dovish
fomc_stmt_20110427,2011-04-27,FOMC,statement,fomc_statements,25,3,5,17,8,-0.1111111111111111,dovish,7,0,3,3,-0.23076923076923078,dovish
fomc_stmt_20110622,2011-06-22,FOMC,statement,fomc_statements,26,2,6,18,8,-0.2222222222222222,dovish,10,0,4,4,-0.2857142857142857,dovish
fomc_stmt_20110809,2011-08-09,FOMC,statement,fomc_statements,30,3,11,16,14,-0.3333333333333333,dovish,10,0,6,6,-0.375,dovish
fomc_stmt_20110921,2011-09-21,FOMC,statement,fomc_statements,33,3,9,21,12,-0.2727272727272727,dovish,10,0,4,4,-0.2857142857142857,dovish
fomc_stmt_20111102,2011-11-02,FOMC,statement,fomc_statements,27,3,6,18,9,-0.15789473684210525,dovish,7,1,3,4,-0.14285714285714285,dovish
fomc_stmt_20111213,2011-12-13,FOMC,statement,fomc_statements,25,2,5,18,7,-0.17647058823529413,dovish,7,1,3,4,-0.14285714285714285,dovish
fomc_stmt_20120125,2012-01-25,FOMC,statement,fomc_statements,24,1,6,17,7,-0.29411764705882354,dovish,8,1,5,6,-0.25,dovish
fomc_stmt_20120313,2012-03-13,FOMC,statement,fomc_statements,26,2,5,19,7,-0.17647058823529413,dovish,8,1,3,4,-0.14285714285714285,dovish
fomc_stmt_20120425,2012-04-25,FOMC,statement,fomc_statements,27,3,6,18,9,-0.15789473684210525,dovish,8,1,4,5,-0.2,dovish
fomc_stmt_20120620,2012-06-20,FOMC,statement,fomc_statements,30,2,11,17,13,-0.391304347826087,dovish,8,1,4,5,-0.2,dovish
fomc_stmt_20120801,2012-08-01,FOMC,statement,fomc_statements,28,1,11,16,12,-0.45454545454545453,dovish,9,0,7,7,-0.4117647058823529,dovish
fomc_stmt_20120913,2012-09-13,FOMC,statement,fomc_statements,31,0,11,20,11,-0.5238095238095238,dovish,12,0,9,9,-0.47368421052631576,dovish
fomc_stmt_20121024,2012-10-24,FOMC,statement,fomc_statements,31,2,11,18,13,-0.391304347826087,dovish,12,1,8,9,-0.3684210526315789,dovish
fomc_stmt_20121212,2012-12-12,FOMC,statement,fomc_statements,34,1,10,23,11,-0.42857142857142855,dovish,14,1,7,8,-0.3333333333333333,dovish
fomc_stmt_20130130,2013-01-30,FOMC,statement,fomc_statements,32,1,12,19,13,-0.4782608695652174,dovish,13,1,9,10,-0.4,dovish
fomc_stmt_20130320,2013-03-20,FOMC,statement,fomc_statements,32,1,12,19,13,-0.4782608695652174,dovish,12,0,9,9,-0.47368421052631576,dovish
fomc_stmt_20130501,2013-05-01,FOMC,statement,fomc_statements,33,1,12,20,13,-0.4782608695652174,dovish,13,0,10,10,-0.5,dovish
fomc_stmt_20130619,2013-06-19,FOMC,statement,fomc_statements,32,1,12,19,13,-0.4782608695652174,dovish,14,0,10,10,-0.5,dovish
fomc_stmt_20130731,2013-07-31,FOMC,statement,fomc_statements,32,1,11,20,12,-0.45454545454545453,dovish,13,0,8,8,-0.4444444444444444,dovish
fomc_stmt_20130918,2013-09-18,FOMC,statement,fomc_statements,32,0,10,22,10,-0.5,dovish,14,0,8,8,-0.4444444444444444,dovish
fomc_stmt_20131030,2013-10-30,FOMC,statement,fomc_statements,33,0,10,23,10,-0.5,dovish,13,0,7,7,-0.4117647058823529,dovish
fomc_stmt_20131218,2013-12-18,FOMC,statement,fomc_statements,34,0,12,22,12,-0.5454545454545454,dovish,15,0,9,9,-0.47368421052631576,dovish
fomc_stmt_20140129,2014-01-29,FOMC,statement,fomc_statements,33,1,11,21,12,-0.45454545454545453,dovish,14,0,7,7,-0.4117647058823529,dovish
fomc_stmt_20140319,2014-03-19,FOMC,statement,fomc_statements,36,1,12,23,13,-0.4782608695652174,dovish,14,0,5,5,-0.3333333333333333,dovish
fomc_stmt_20140430,2014-04-30,FOMC,statement,fomc_statements,34,3,10,21,13,-0.30434782608695654,dovish,14,0,5,5,-0.3333333333333333,dovish
fomc_stmt_20140618,2014-06-18,FOMC,statement,fomc_statements,33,2,9,22,11,-0.3333333333333333,dovish,14,0,6,6,-0.375,dovish
fomc_stmt_20140730,2014-07-30,FOMC,statement,fomc_statements,34,3,10,21,13,-0.30434782608695654,dovish,14,0,6,6,-0.375,dovish
fomc_stmt_20140917,2014-09-17,FOMC,statement,fomc_statements,35,3,8,24,11,-0.23809523809523808,dovish,15,2,4,6,-0.125,dovish
fomc_stmt_20141029,2014-10-29,FOMC,statement,fomc_statements,33,2,11,20,13,-0.391304347826087,dovish,13,1,8,9,-0.3684210526315789,dovish
fomc_stmt_20141217,2014-12-17,FOMC,statement,fomc_statements,32,2,11,19,13,-0.391304347826087,dovish,13,2,7,9,-0.2631578947368421,dovish
fomc_stmt_20150128,2015-01-28,FOMC,statement,fomc_statements,32,2,8,22,10,-0.3,dovish,11,1,5,6,-0.25,dovish
fomc_stmt_20150318,2015-03-18,FOMC,statement,fomc_statements,32,1,8,23,9,-0.3684210526315789,dovish,11,1,4,5,-0.2,dovish
fomc_stmt_20150429,2015-04-29,FOMC,statement,fomc_statements,30,1,7,22,8,-0.3333333333333333,dovish,8,1,1,2,0,neutral
fomc_stmt_20150617,2015-06-17,FOMC,statement,fomc_statements,29,1,5,23,6,-0.25,dovish,8,1,2,3,-0.07692307692307693,dovish
fomc_stmt_20150729,2015-07-29,FOMC,statement,fomc_statements,29,1,6,22,7,-0.29411764705882354,dovish,8,1,2,3,-0.07692307692307693,dovish
fomc_stmt_20150917,2015-09-17,FOMC,statement,fomc_statements,31,2,7,22,9,-0.2631578947368421,dovish,10,1,3,4,-0.14285714285714285,dovish
fomc_stmt_20151028,2015-10-28,FOMC,statement,fomc_statements,30,2,5,23,7,-0.17647058823529413,dovish,9,1,2,3,-0.07692307692307693,dovish
fomc_stmt_20151216,2015-12-16,FOMC,statement,fomc_statements,30,3,7,20,10,-0.2,dovish,14,3,4,7,-0.058823529411764705,dovish
fomc_stmt_20160127,2016-01-27,FOMC,statement,fomc_statements,27,0,7,20,7,-0.4117647058823529,dovish,14,0,4,4,-0.2857142857142857,dovish
fomc_stmt_20160316,2016-03-16,FOMC,statement,fomc_statements,29,2,4,23,6,-0.125,dovish,11,0,3,3,-0.23076923076923078,dovish
fomc_stmt_20160427,2016-04-27,FOMC,statement,fomc_statements,29,2,7,20,9,-0.2631578947368421,dovish,11,0,5,5,-0.3333333333333333,dovish
fomc_stmt_20160615,2016-06-15,FOMC,statement,fomc_statements,28,1,6,21,7,-0.29411764705882354,dovish,9,0,3,3,-0.23076923076923078,dovish
fomc_stmt_20160727,2016-07-27,FOMC,statement,fomc_statements,30,1,8,21,9,-0.3684210526315789,dovish,10,0,4,4,-0.2857142857142857,dovish
fomc_stmt_20160921,2016-09-21,FOMC,statement,fomc_statements,30,3,6,21,9,-0.15789473684210525,dovish,11,1,3,4,-0.14285714285714285,dovish
fomc_stmt_20161102,2016-11-02,FOMC,statement,fomc_statements,30,4,4,22,8,0,neutral,11,2,3,5,-0.06666666666666667,dovish
fomc_stmt_20161214,2016-12-14,FOMC,statement,fomc_statements,28,3,4,21,7,-0.058823529411764705,dovish,11,2,3,5,-0.06666666666666667,dovish
fomc_stmt_20170201,2017-02-01,FOMC,statement,fomc_statements,28,0,5,23,5,-0.3333333333333333,dovish,10,0,2,2,-0.16666666666666666,dovish
fomc_stmt_20170315,2017-03-15,FOMC,statement,fomc_statements,28,2,3,23,5,-0.06666666666666667,dovish,10,2,1,3,0.07692307692307693,hawkish
fomc_stmt_20170503,2017-05-03,FOMC,statement,fomc_statements,28,3,4,21,7,-0.058823529411764705,dovish,10,1,1,2,0,neutral
fomc_stmt_20170614,2017-06-14,FOMC,statement,fomc_statements,28,3,3,22,6,0,neutral,12,2,2,4,0,neutral
fomc_stmt_20170726,2017-07-26,FOMC,statement,fomc_statements,26,2,3,21,5,-0.06666666666666667,dovish,11,1,2,3,-0.07692307692307693,dovish
fomc_stmt_20170920,2017-09-20,FOMC,statement,fomc_statements,27,2,4,21,6,-0.125,dovish,12,1,2,3,-0.07692307692307693,dovish
fomc_stmt_20171101,2017-11-01,FOMC,statement,fomc_statements,28,2,3,23,5,-0.06666666666666667,dovish,12,1,2,3,-0.07692307692307693,dovish
fomc_stmt_20171213,2017-12-13,FOMC,statement,fomc_statements,27,3,2,22,5,0.06666666666666667,hawkish,11,2,0,2,0.16666666666666666,hawkish
fomc_stmt_20180131,2018-01-31,FOMC,statement,fomc_statements,26,3,3,20,6,0,neutral,9,2,1,3,0.07692307692307693,hawkish
fomc_stmt_20180321,2018-03-21,FOMC,statement,fomc_statements,27,5,3,19,8,0.1111111111111111,hawkish,10,4,1,5,0.2,hawkish
fomc_stmt_20180502,2018-05-02,FOMC,statement,fomc_statements,26,1,3,22,4,-0.14285714285714285,dovish,9,1,1,2,0,neutral
fomc_stmt_20180613,2018-06-13,FOMC,statement,fomc_statements,22,4,1,17,5,0.2,hawkish,5,2,0,2,0.16666666666666666,hawkish
fomc_stmt_20180801,2018-08-01,FOMC,statement,fomc_statements,22,3,1,18,4,0.14285714285714285,hawkish,5,1,0,1,0.09090909090909091,hawkish
fomc_stmt_20180926,2018-09-26,FOMC,statement,fomc_statements,22,4,0,18,4,0.2857142857142857,hawkish,5,2,0,2,0.16666666666666666,hawkish
fomc_stmt_20181108,2018-11-08,FOMC,statement,fomc_statements,22,3,1,18,4,0.14285714285714285,hawkish,5,1,0,1,0.09090909090909091,hawkish
fomc_stmt_20181219,2018-12-19,FOMC,statement,fomc_statements,23,3,1,19,4,0.14285714285714285,hawkish,5,2,0,2,0.16666666666666666,hawkish
fomc_stmt_20190130,2019-01-30,FOMC,statement,fomc_statements,22,2,3,17,5,-0.06666666666666667,dovish,4,1,1,2,0,neutral
fomc_stmt_20190320,2019-03-20,FOMC,statement,fomc_statements,22,1,4,17,5,-0.2,dovish,4,1,1,2,0,neutral
fomc_stmt_20190501,2019-05-01,FOMC,statement,fomc_statements,22,2,4,16,6,-0.125,dovish,4,1,1,2,0,neutral
fomc_stmt_20190619,2019-06-19,FOMC,statement,fomc_statements,23,1,5,17,6,-0.25,dovish,4,1,1,2,0,neutral
